"filename", "language", "Ignore", "PHP", "JavaScript", "Batch", "YAML", "Markdown", "XML", "JSON", "Docker", "Shell Script", "Properties", "PostCSS", "comment", "blank", "total"
"c:\laragon\www\laravelshare\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 1, 32
"c:\laragon\www\laravelshare\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\laravelshare\public\index.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 12, 56
"c:\laragon\www\laravelshare\render.yaml", "YAML", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 3, 65
"c:\laragon\www\laravelshare\resources\css\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\laragon\www\laravelshare\resources\js\app.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\laragon\www\laravelshare\resources\js\bootstrap.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 7, 33
"c:\laragon\www\laravelshare\resources\views\about.blade.php", "PHP", 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 247
"c:\laragon\www\laravelshare\resources\views\admin\dashboard.blade.php", "PHP", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 228
"c:\laragon\www\laravelshare\resources\views\admin\files.blade.php", "PHP", 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 221
"c:\laragon\www\laravelshare\resources\views\admin\layout.blade.php", "PHP", 0, 542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 52, 611
"c:\laragon\www\laravelshare\resources\views\admin\settings.blade.php", "PHP", 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 249
"c:\laragon\www\laravelshare\resources\views\admin\users.blade.php", "PHP", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 143
"c:\laragon\www\laravelshare\resources\views\auth\admin-login.blade.php", "PHP", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 107
"c:\laragon\www\laravelshare\resources\views\auth\confirm-password.blade.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 66
"c:\laragon\www\laravelshare\resources\views\auth\forgot-password.blade.php", "PHP", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"c:\laragon\www\laravelshare\resources\views\auth\login.blade.php", "PHP", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 97
"c:\laragon\www\laravelshare\resources\views\auth\register.blade.php", "PHP", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 113
